Country,Region,Year,Life Ladder,Healthy life expectancy at birth,Log GDP per capita,Democratic Quality,Delivery Quality,happiness_measure,binary_val
Philippines,Asia,2006,4.66994571685791,59.7999992370605,8.50544452667236,-0.865733206272125,-0.385560721158981,Social support,0.79531329870224
Philippines,Asia,2006,4.66994571685791,59.7999992370605,8.50544452667236,-0.865733206272125,-0.385560721158981,Freedom to make life choices,0.828273117542267
Philippines,Asia,2006,4.66994571685791,59.7999992370605,8.50544452667236,-0.865733206272125,-0.385560721158981,Generosity,0.0591714642941952
Philippines,Asia,2006,4.66994571685791,59.7999992370605,8.50544452667236,-0.865733206272125,-0.385560721158981,Perceptions of corruption,0.841298818588257
Philippines,Asia,2006,4.66994571685791,59.7999992370605,8.50544452667236,-0.865733206272125,-0.385560721158981,Confidence in national government,0.571570992469788
Philippines,Asia,2006,4.66994571685791,59.7999992370605,8.50544452667236,-0.865733206272125,-0.385560721158981,Positive affect,0.831998765468597
Philippines,Asia,2006,4.66994571685791,59.7999992370605,8.50544452667236,-0.865733206272125,-0.385560721158981,Negative affect,0.372360855340957
Philippines,Asia,2007,5.07356214523315,60,8.55275440216064,-0.8567174077034,-0.306686162948608,Social support,0.800711393356323
Philippines,Asia,2007,5.07356214523315,60,8.55275440216064,-0.8567174077034,-0.306686162948608,Freedom to make life choices,0.851566433906555
Philippines,Asia,2007,5.07356214523315,60,8.55275440216064,-0.8567174077034,-0.306686162948608,Generosity,-0.0260554552078247
Philippines,Asia,2007,5.07356214523315,60,8.55275440216064,-0.8567174077034,-0.306686162948608,Perceptions of corruption,0.880245566368103
Philippines,Asia,2007,5.07356214523315,60,8.55275440216064,-0.8567174077034,-0.306686162948608,Confidence in national government,0.624720573425293
Philippines,Asia,2007,5.07356214523315,60,8.55275440216064,-0.8567174077034,-0.306686162948608,Positive affect,0.784118413925171
Philippines,Asia,2007,5.07356214523315,60,8.55275440216064,-0.8567174077034,-0.306686162948608,Negative affect,0.378187775611877
Philippines,Asia,2008,4.58906507492065,60.2000007629395,8.57724189758301,-0.958532869815826,-0.341033428907394,Social support,0.798442244529724
Philippines,Asia,2008,4.58906507492065,60.2000007629395,8.57724189758301,-0.958532869815826,-0.341033428907394,Freedom to make life choices,0.86084258556366
Philippines,Asia,2008,4.58906507492065,60.2000007629395,8.57724189758301,-0.958532869815826,-0.341033428907394,Generosity,0.0783350840210915
